,i,ppron,pronoun,negemo,adverb,anger,bio,cogmech,conj,sad,swear,affect,body,present,discrep,relativ,article,preps,posemo,space,time,funct,leisure,achieve,relig,social,incl,motion,we,auxverb
61e7f6145fd03d709cabbde3faf33412,276.0,533.0,833.0,235.0,252.0,131.0,156.0,838.0,306.0,44.0,66.0,473.0,63.0,448.0,88.0,707.0,319.0,685.0,237.0,291.0,294.0,2882.0,66.0,95.0,42.0,529.0,231.0,107.0,56.0,378.0
623ff8b813fd5515bb3398c5efea092e,232.0,363.0,585.0,128.0,164.0,78.0,134.0,510.0,151.0,19.0,58.0,240.0,42.0,380.0,63.0,310.0,135.0,325.0,112.0,132.0,130.0,1706.0,25.0,44.0,11.0,283.0,93.0,40.0,15.0,292.0
6262f9ea246e00408561aa9a73c49175,1483.0,2366.0,3371.0,467.0,1089.0,192.0,468.0,2872.0,1171.0,63.0,43.0,1438.0,181.0,1466.0,306.0,2341.0,910.0,1814.0,961.0,946.0,1008.0,9675.0,276.0,232.0,63.0,1856.0,729.0,315.0,95.0,1183.0
628795bc01a18d088f69bcb951233ab5,31.0,55.0,98.0,17.0,39.0,5.0,17.0,137.0,49.0,3.0,1.0,62.0,1.0,73.0,14.0,145.0,72.0,110.0,45.0,45.0,72.0,472.0,3.0,15.0,4.0,71.0,40.0,25.0,2.0,65.0
62c4578c9c40a8d42aee4e9d73b43447,67.0,136.0,216.0,28.0,70.0,5.0,32.0,233.0,110.0,8.0,2.0,108.0,9.0,132.0,47.0,183.0,64.0,132.0,77.0,74.0,81.0,718.0,24.0,13.0,2.0,136.0,73.0,27.0,9.0,105.0
63214b6d679f16d42c1113528eab40b4,92.0,177.0,294.0,68.0,115.0,30.0,38.0,406.0,130.0,16.0,4.0,170.0,16.0,222.0,57.0,357.0,184.0,308.0,100.0,141.0,159.0,1302.0,41.0,69.0,20.0,193.0,99.0,46.0,23.0,200.0
6328f0fb3d9e4d1277446663f93482cc,675.0,1102.0,1628.0,327.0,569.0,145.0,277.0,1413.0,502.0,73.0,89.0,764.0,123.0,853.0,149.0,1234.0,500.0,1034.0,431.0,553.0,491.0,5033.0,139.0,84.0,26.0,926.0,356.0,161.0,23.0,638.0
63cfe619eb1a1ffb8f40a45571d6915c,177.0,342.0,486.0,112.0,141.0,37.0,181.0,468.0,192.0,21.0,20.0,294.0,73.0,328.0,64.0,554.0,243.0,476.0,178.0,238.0,230.0,1893.0,73.0,58.0,13.0,331.0,159.0,82.0,5.0,298.0
64463aa93c9145fa0724a9e89ea7be2a,143.0,387.0,655.0,111.0,277.0,42.0,124.0,795.0,330.0,27.0,9.0,434.0,40.0,576.0,71.0,823.0,321.0,636.0,323.0,311.0,390.0,2801.0,106.0,78.0,19.0,457.0,225.0,111.0,23.0,482.0
6446d8555111ee3a45aaf21453bb5bc2,997.0,1523.0,2329.0,415.0,900.0,166.0,396.0,2434.0,837.0,70.0,54.0,1039.0,183.0,1333.0,234.0,2262.0,894.0,1852.0,620.0,875.0,1029.0,8242.0,332.0,206.0,66.0,1098.0,628.0,312.0,96.0,1059.0
