,funct,article,verb,auxverb,social,family,friend,humans,affect,posemo,negemo,anx,anger,past,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,present,percept,see,hear,feel,bio,body,health,sexual,future,ingest,adverb,preps,conj,negate,pronoun,quant,number,swear,relativ,motion,space,time,ppron,work,achieve,leisure,home,money,relig,death,i,assent,nonfl,filler,we,you,shehe,they,ipron
13581f4144de9e22603059aa418fa79a,303.0,27.0,80.0,36.0,38.0,5.0,2.0,4.0,44.0,17.0,27.0,0.0,22.0,24.0,3.0,76.0,10.0,6.0,6.0,7.0,6.0,2.0,26.0,14.0,51.0,19.0,6.0,5.0,5.0,26.0,10.0,5.0,9.0,2.0,4.0,36.0,81.0,32.0,10.0,86.0,17.0,2.0,19.0,116.0,20.0,51.0,44.0,57.0,21.0,11.0,8.0,6.0,3.0,3.0,0.0,44.0,5.0,2.0,4.0,2.0,6.0,3.0,2.0,29.0
142635bd7f9ed8e4d8c292fa6ccd9aa4,346.0,40.0,98.0,50.0,72.0,13.0,5.0,5.0,53.0,44.0,9.0,3.0,2.0,29.0,4.0,88.0,14.0,5.0,12.0,11.0,13.0,3.0,23.0,14.0,58.0,9.0,3.0,3.0,3.0,19.0,5.0,6.0,4.0,5.0,4.0,24.0,85.0,28.0,8.0,91.0,21.0,6.0,2.0,99.0,14.0,34.0,49.0,61.0,8.0,10.0,5.0,8.0,8.0,4.0,2.0,29.0,1.0,0.0,3.0,5.0,14.0,6.0,7.0,30.0
1436ccb459cf7166b8e6926e9d2b6950,2429.0,305.0,628.0,356.0,409.0,5.0,5.0,51.0,305.0,178.0,125.0,16.0,64.0,113.0,13.0,705.0,105.0,84.0,71.0,118.0,48.0,18.0,175.0,130.0,424.0,109.0,43.0,41.0,17.0,136.0,41.0,44.0,35.0,39.0,24.0,223.0,545.0,225.0,78.0,675.0,94.0,41.0,32.0,632.0,86.0,279.0,253.0,449.0,101.0,52.0,102.0,22.0,30.0,27.0,10.0,254.0,25.0,5.0,15.0,32.0,117.0,22.0,24.0,226.0
14a8ca9e98cb19ac922b55ffde0ea0b7,252.0,38.0,72.0,38.0,34.0,0.0,4.0,3.0,50.0,22.0,28.0,3.0,15.0,19.0,4.0,78.0,9.0,9.0,4.0,9.0,3.0,7.0,32.0,8.0,48.0,3.0,2.0,0.0,1.0,9.0,0.0,4.0,5.0,0.0,0.0,19.0,45.0,37.0,4.0,62.0,13.0,8.0,1.0,65.0,9.0,25.0,30.0,45.0,11.0,9.0,12.0,3.0,1.0,1.0,2.0,31.0,3.0,0.0,2.0,4.0,8.0,1.0,1.0,17.0
14b2dae4fdcf31c96aefd3f94f9c13c2,759.0,88.0,202.0,114.0,112.0,4.0,7.0,6.0,119.0,86.0,33.0,2.0,11.0,23.0,8.0,198.0,27.0,15.0,28.0,45.0,14.0,14.0,52.0,37.0,150.0,54.0,20.0,19.0,12.0,42.0,15.0,9.0,13.0,9.0,7.0,64.0,165.0,93.0,29.0,233.0,26.0,7.0,6.0,201.0,29.0,86.0,81.0,164.0,16.0,16.0,34.0,8.0,4.0,14.0,1.0,122.0,8.0,3.0,9.0,8.0,21.0,7.0,6.0,69.0
14f57af466dd9a6765721dda24d60214,1246.0,126.0,299.0,174.0,316.0,19.0,15.0,22.0,138.0,112.0,24.0,4.0,7.0,55.0,4.0,416.0,70.0,41.0,47.0,70.0,32.0,12.0,118.0,70.0,203.0,41.0,20.0,9.0,9.0,62.0,16.0,20.0,15.0,20.0,12.0,110.0,283.0,148.0,24.0,354.0,61.0,24.0,3.0,307.0,52.0,128.0,119.0,226.0,43.0,28.0,23.0,8.0,15.0,6.0,2.0,62.0,6.0,3.0,3.0,32.0,90.0,17.0,25.0,128.0
15075396da708df0842101d8613d7867,1644.0,123.0,450.0,247.0,215.0,10.0,8.0,23.0,325.0,222.0,102.0,13.0,35.0,93.0,18.0,521.0,57.0,42.0,65.0,93.0,60.0,19.0,126.0,99.0,282.0,66.0,19.0,14.0,24.0,76.0,35.0,22.0,10.0,27.0,9.0,213.0,367.0,175.0,42.0,486.0,74.0,7.0,5.0,495.0,70.0,165.0,251.0,305.0,60.0,56.0,64.0,37.0,14.0,15.0,13.0,223.0,48.0,18.0,16.0,17.0,35.0,20.0,10.0,181.0
156c0e5293e3a3e26a6f3d3bca0a1ce7,241.0,14.0,57.0,28.0,35.0,1.0,4.0,1.0,48.0,25.0,23.0,0.0,15.0,13.0,3.0,58.0,8.0,3.0,6.0,8.0,5.0,2.0,18.0,12.0,39.0,6.0,2.0,2.0,2.0,23.0,12.0,8.0,1.0,2.0,2.0,28.0,48.0,25.0,7.0,89.0,12.0,5.0,9.0,61.0,8.0,27.0,25.0,71.0,12.0,2.0,2.0,2.0,7.0,6.0,5.0,50.0,5.0,1.0,3.0,0.0,19.0,0.0,2.0,18.0
157b749adf2608d8da539c9191f9c360,1388.0,125.0,336.0,210.0,258.0,25.0,8.0,32.0,155.0,131.0,24.0,0.0,6.0,85.0,8.0,355.0,46.0,24.0,33.0,69.0,38.0,8.0,90.0,83.0,218.0,50.0,30.0,6.0,11.0,54.0,21.0,14.0,15.0,11.0,6.0,119.0,282.0,153.0,38.0,429.0,70.0,16.0,3.0,314.0,35.0,132.0,142.0,271.0,13.0,30.0,21.0,10.0,13.0,9.0,2.0,161.0,10.0,8.0,5.0,11.0,56.0,13.0,30.0,158.0
15991e219eacbcb22f1c9926b4fa6f4f,4051.0,425.0,1110.0,632.0,422.0,27.0,13.0,50.0,492.0,294.0,196.0,36.0,49.0,267.0,48.0,1238.0,183.0,104.0,146.0,217.0,79.0,40.0,314.0,263.0,698.0,218.0,82.0,40.0,94.0,232.0,96.0,71.0,23.0,62.0,48.0,475.0,935.0,436.0,67.0,1050.0,171.0,57.0,16.0,1225.0,162.0,473.0,576.0,685.0,147.0,99.0,109.0,77.0,36.0,12.0,14.0,512.0,80.0,17.0,30.0,16.0,75.0,58.0,24.0,365.0
15d3baad45df60861e9faaa1592b52f3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16b50b14c2ba5cf9b3c3d66589011e0b,971.0,127.0,260.0,160.0,134.0,6.0,7.0,13.0,134.0,98.0,34.0,2.0,12.0,71.0,10.0,252.0,37.0,18.0,37.0,55.0,16.0,15.0,58.0,46.0,159.0,41.0,15.0,8.0,14.0,52.0,12.0,16.0,7.0,18.0,17.0,73.0,204.0,109.0,27.0,276.0,46.0,10.0,1.0,308.0,30.0,103.0,170.0,165.0,36.0,24.0,38.0,8.0,7.0,30.0,4.0,107.0,18.0,6.0,11.0,11.0,36.0,3.0,8.0,111.0
16d4ac37769d1d9862df2c67fd6efe27,45.0,7.0,9.0,4.0,12.0,0.0,0.0,3.0,5.0,4.0,1.0,0.0,0.0,2.0,0.0,8.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,6.0,0.0,12.0,1.0,3.0,0.0,11.0,1.0,5.0,5.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0
